,property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
1,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6443051,-35.7088142",110,"$187,230.85 "
2,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6430934,-35.70484",65,"$81,133.37 "
3,house,|Brasil|Alagoas|Maceió|,Northeast,"-9.6227033,-35.7297953",211,"$154,465.45 "
4,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.622837,-35.719556",99,"$146,013.20 "
5,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.654955,-35.700227",55,"$101,416.71 "
6,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.614414,-35.735621",56,"$75,727.07 "
7,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.584755,-35.662909",68,"$110,916.18 "
8,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",187,"$249,641.14 "
9,apartment,|Brasil|Alagoas|Maceió|,Northeast,,65,"$100,792.61 "
10,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",90,"$115,459.02 "
11,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6637998,-35.7115455",137,"$361,979.65 "
12,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661504,-35.702961",101,"$131,061.59 "
13,house,|Brasil|Alagoas|Marechal Deodoro|,Northeast,"-9.697809,-35.893414",140,"$99,856.45 "
14,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.629426,-35.69973",250,"$466,625.47 "
15,apartment,|Brasil|Alagoas|Maceió|,Northeast,,182,"$312,051.42 "
16,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.64956,-35.73711",136,"$162,941.08 "
17,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6608,-35.705772",145,"$200,197.52 "
18,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.649588,-35.708401",138,"$188,295.26 "
19,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.650917,-35.706558",175,"$405,666.85 "
20,apartment,|Brasil|Alagoas|Maceió|,Northeast,,133,"$187,230.85 "
21,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658275,-35.705242",122,"$187,230.85 "
22,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",98,"$118,579.54 "
23,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661148,-35.700417",107,"$183,069.25 "
24,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.638323,-35.74342",68,"$86,366.47 "
25,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",118,"$199,559.38 "
26,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66356,-35.73373",205,"$106,050.67 "
27,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.659634,-35.705776",130,"$209,074.45 "
28,apartment,|Brasil|Amapá|Macapá|,North,"0.0204232,-51.0695784",93,"$148,349.22 "
29,apartment,|Brasil|Amazonas|Manaus|Santo Agostinho|,North,"-3.097695,-60.057747",117,"$249,641.14 "
30,house,|Brasil|Amazonas|Manaus|Parque 10 de Novembro|,North,"-3.0782332,-60.0047424",110,"$118,579.54 "
31,house,|Brasil|Amazonas|Manaus|Flores|,North,"-3.047664,-59.999931",80,"$78,012.85 "
32,house,|Brasil|Amazonas|Manaus|Flores|,North,,104,"$140,423.14 "
33,house,|Brasil|Bahia|Salvador|Nazaré|,Northeast,"-12.977729,-38.5093",138,"$93,615.42 "
34,house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,,202,"$154,465.45 "
35,house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202,"$154,465.45 "
36,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",120,"$87,374.39 "
37,house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202,"$154,465.45 "
38,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",82,"$87,374.39 "
39,apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",88,"$168,507.77 "
40,house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202,"$154,465.45 "
41,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",127,"$202,833.42 "
42,house,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",240,"$374,461.71 "
43,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139,"$202,521.37 "
44,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139,"$205,641.88 "
45,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139,"$327,341.94 "
46,house,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.930742,-38.365299",191,"$131,061.59 "
47,apartment,|Brasil|Bahia|Mata de São João|,Northeast,"-12.477871,-38.126591",84,"$109,217.99 "
48,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,161,"$378,125.50 "
49,apartment,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.939807,-38.367931",57,"$93,303.37 "
50,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",182,"$468,077.13 "
51,house,|Brasil|Bahia|Salvador|Stella Maris|,Northeast,,200,"$187,230.85 "
52,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",115,"$205,953.94 "
53,apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.996323,-38.481049",105,"$106,097.48 "
54,apartment,|Brasil|Bahia|Mata de São João|,Northeast,"-12.477871,-38.126591",108,"$102,976.97 "
55,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.965071,-38.435036",72,"$143,408.53 "
56,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",54,"$121,388.00 "
57,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",55,"$89,558.75 "
58,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",70,"$154,465.45 "
59,apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-13.000443,-38.45739",107,"$190,351.36 "
60,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,,186,"$406,821.44 "
61,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009664,-38.486431",186,"$414,965.98 "
62,apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",90,"$177,025.52 "
63,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.971756,-38.438103",55,"$98,296.19 "
64,apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,,224,"$308,930.91 "
65,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.002785,-38.519222",225,"$390,064.28 "
66,apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,"-12.972996,-38.47842",54,"$79,573.11 "
67,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",225,"$254,587.15 "
68,apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",75,"$177,931.09 "
69,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,,75,"$106,382.38 "
70,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",75,"$107,713.59 "
71,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,150,"$235,146.35 "
72,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.941992,-38.403465",243,"$470,485.55 "
73,house,|Brasil|Bahia|Lençóis|Centro|,Northeast,"-12.385784,-41.320999",99,"$87,374.39 "
74,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",68,"$137,302.62 "
75,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",66,"$122,436.49 "
76,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",63,"$121,127.12 "
77,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",90,"$204,926.35 "
78,apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",76,"$140,423.14 "
79,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",83,"$153,352.36 "
80,apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,"-12.974552,-38.496819",76,"$99,856.45 "
81,house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",70,"$78,012.85 "
82,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.991246,-38.492966",67,"$137,674.59 "
83,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",56,"$99,683.89 "
84,house,|Brasil|Bahia|Camaçari|,Northeast,,75,"$78,012.85 "
85,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",83,"$221,393.62 "
86,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",83,"$206,020.72 "
87,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",90,"$292,482.05 "
88,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",89,"$149,507.27 "
89,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",70,"$164,886.72 "
90,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",61,"$121,700.05 "
91,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",122,"$187,230.85 "
92,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.949672,-38.409973",80,"$132,517.00 "
93,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",240,"$343,256.56 "
94,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",106,"$171,628.28 "
95,apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.000164,-38.489021",132,"$348,481.86 "
96,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,,133,"$260,112.33 "
97,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.984901,-38.439594",133,"$267,153.15 "
98,apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.994164,-38.518372",76,"$165,948.63 "
99,apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.994164,-38.518372",76,"$173,566.12 "
100,house,|Brasil|Bahia|Salvador|,Northeast,,110,"$84,253.88 "
101,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",100,"$81,133.37 "
102,house,|Brasil|Bahia|Lauro de Freitas|Miragem|,Northeast,,120,"$131,061.59 "
103,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,,127,"$187,230.85 "
104,house,|Brasil|Bahia|Salvador|Itapuã|,Northeast,,240,"$133,558.01 "
105,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",66,"$131,061.59 "
106,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.981397,-38.441444",93,"$109,217.99 "
107,house,|Brasil|Bahia|Saubara|,Northeast,"-12.7732,-38.789162",120,"$81,133.37 "
108,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",110,"$112,338.51 "
109,house,|Brasil|Bahia|Lauro de Freitas|Miragem|,Northeast,"-12.852844,-38.32711",151,"$118,579.54 "
110,apartment,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.938337,-38.362667",85,"$90,494.91 "
111,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",115,"$152,905.19 "
112,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.001169,-38.49419",58,"$109,217.99 "
113,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",191,"$207,514.19 "
114,apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,,61,"$116,020.72 "
115,house,|Brasil|Bahia|Salvador|,Northeast,,244,"$393,184.79 "
116,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.958966,-38.405651",170,"$202,833.42 "
117,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.9349962,-38.3576186",67,"$215,647.81 "
118,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",185,"$138,862.88 "
119,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",56,"$81,133.37 "
120,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,,80,"$118,579.54 "
121,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",95,"$109,217.99 "
122,apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.996323,-38.481049",120,"$112,338.51 "
123,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",110,"$112,338.51 "
124,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",110,"$118,579.54 "
125,apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002217,-38.516796",114,"$241,839.85 "
126,apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002217,-38.516796",98,"$155,713.66 "
127,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",83,"$134,119.70 "
128,apartment,|Brasil|Bahia|Salvador|Engenho Velho da Federação|,Northeast,"-13.007612,-38.49474",102,"$190,507.39 "
129,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",63,"$196,592.39 "
130,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",80,"$99,856.45 "
131,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",120,"$84,253.88 "
132,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",115,"$115,459.02 "
133,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",80,"$107,657.74 "
134,apartment,|Brasil|Bahia|Salvador|Matatu|,Northeast,"-12.974552,-38.496819",80,"$92,991.32 "
135,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.974552,-38.496819",70,"$87,374.39 "
136,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,83,"$171,628.28 "
137,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-12.9857,-38.519516",143,"$202,833.42 "
138,house,|Brasil|Bahia|Salvador|Praia do Flamengo|,Northeast,"-12.920561,-38.318233",140,"$106,097.48 "
139,house,|Brasil|Bahia|Alagoinhas|,Northeast,"-12.12635,-38.40873",197,"$148,224.42 "
140,apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",114,"$152,905.19 "
141,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.007857,-38.498463",95,"$101,416.71 "
142,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",90,"$109,217.99 "
143,apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.000164,-38.489021",152,"$327,653.99 "
144,house,|Brasil|Bahia|Itaparica|,Northeast,"-12.905073,-38.684437",66,"$171,628.28 "
145,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",244,"$187,230.85 "
146,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",206,"$374,461.71 "
147,apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002785,-38.519222",195,"$243,400.11 "
148,house,|Brasil|Bahia|Lauro de Freitas|Ipitanga|,Northeast,"-12.852844,-38.32711",110,"$93,615.42 "
149,apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",151,"$143,543.65 "
150,house,|Brasil|Bahia|Lauro de Freitas|Ipitanga|,Northeast,,150,"$96,735.94 "
151,apartment,|Brasil|Bahia|Salvador|Luís Anselmo|,Northeast,"-12.974986,-38.490906",125,"$90,463.70 "
152,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",70,"$74,892.34 "
153,apartment,|Brasil|Bahia|Salvador|Vitória|,Northeast,"-12.993533,-38.526047",184,"$374,461.71 "
154,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",106,"$118,579.54 "
155,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",92,"$82,693.62 "
156,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",115,"$177,869.31 "
157,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010534,-38.485542",78,"$96,735.94 "
158,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",115,"$115,459.02 "
159,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",71,"$84,253.88 "
160,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.992462,-38.444553",59,"$113,898.77 "
161,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",142,"$115,146.97 "
162,apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",82,"$81,133.37 "
163,house,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",250,"$374,461.71 "
164,apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",95,"$187,230.85 "
165,apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.00525,-38.516327",90,"$184,110.34 "
166,apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.002785,-38.519222",215,"$374,461.71 "
167,apartment,|Brasil|Bahia|Salvador|Parque Bela Vista|,Northeast,"-12.985579,-38.470348",54,"$92,679.27 "
168,apartment,|Brasil|Bahia|Salvador|Parque Bela Vista|,Northeast,"-12.985591,-38.469273",78,"$134,182.11 "
169,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009664,-38.486431",186,"$411,471.01 "
170,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",220,"$343,256.56 "
171,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",203,"$265,243.71 "
172,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",114,"$202,833.42 "
173,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",180,"$265,243.71 "
174,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,,98,"$174,748.79 "
175,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",235,"$165,387.25 "
176,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",155,"$310,491.16 "
177,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.993305,-38.45739",155,"$296,448.85 "
178,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,198,"$218,435.99 "
179,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",195,"$452,474.56 "
180,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",127,"$180,989.82 "
181,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",128,"$152,905.19 "
182,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,111,"$174,748.79 "
183,apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",186,"$234,038.56 "
184,apartment,|Brasil|Bahia|Salvador|Jaguaribe|,Northeast,"-12.94999,-38.391624",212,"$415,028.39 "
185,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",98,"$227,797.54 "
186,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",55,"$140,423.14 "
187,apartment,|Brasil|Bahia|Salvador|Vitória|,Northeast,"-12.993533,-38.526047",168,"$312,051.42 "
188,apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",180,"$277,725.76 "
189,apartment,|Brasil|Bahia|Salvador|Boca do Rio|,Northeast,"-12.970389,-38.424129",75,"$85,703.40 "
190,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.951526,-38.392464",116,"$208,450.35 "
191,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.951526,-38.392464",143,"$253,385.75 "
192,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",210,"$327,653.99 "
193,apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139,"$234,038.56 "
194,apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",75,"$131,061.59 "
195,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.984901,-38.439594",128,"$234,038.56 "
196,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",59,"$145,790.42 "
197,apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.981397,-38.441444",70,"$126,880.10 "
198,apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.002345,-38.528343",90,"$131,061.59 "
199,apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",170,"$202,833.42 "
200,apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",230,"$405,666.85 "
201,apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,,210,"$246,520.62 "
202,apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992472,-38.52298",100,"$227,797.54 "
203,apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992102,-38.521461",185,"$212,194.96 "
204,apartment,|Brasil|Bahia|Salvador|Engenho Velho de Brotas|,Northeast,"-12.982599,-38.499725",67,"$131,061.59 "
205,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",103,"$186,669.16 "
206,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",122,"$249,641.14 "
207,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",230,"$296,448.85 "
208,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",166,"$187,230.85 "
209,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",102,"$265,243.71 "
210,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",164,"$414,404.29 "
211,apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",120,"$98,296.19 "
212,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.970966,-38.436806",89,"$160,706.48 "
213,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.968704,-38.435516",109,"$146,664.17 "
214,apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",71,"$106,097.48 "
215,apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,,63,"$106,097.48 "
216,apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",100,"$109,217.99 "
217,apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.99183,-38.477451",100,"$146,664.17 "
218,apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.002883,-38.486099",156,"$390,064.28 "
219,apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,,210,"$480,840.04 "
220,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.994513,-38.479004",140,"$234,038.56 "
221,house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",73,"$81,133.37 "
222,house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,,120,"$121,700.05 "
223,apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71,"$81,133.37 "
224,apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71,"$78,012.85 "
225,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.941992,-38.403465",143,"$296,448.85 "
226,apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",158,"$180,989.82 "
227,apartment,|Brasil|Bahia|Salvador|Pernambués|,Northeast,"-12.999527,-38.46265",75,"$77,388.75 "
228,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",128,"$235,843.06 "
229,house,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",156,"$193,471.88 "
230,house,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",170,"$171,628.28 "
231,house,|Brasil|Bahia|Camaçari|,Northeast,,114,"$99,856.45 "
232,apartment,|Brasil|Bahia|Lauro de Freitas|Vilas do Atlântico|,Northeast,"-12.852844,-38.32711",136,"$109,217.99 "
233,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98516,-38.482758",68,"$101,416.71 "
234,apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.001169,-38.49419",71,"$121,700.05 "
235,apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",165,"$343,256.56 "
236,apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",71,"$170,068.02 "
237,apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",72,"$118,579.54 "
238,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",83,"$132,621.85 "
239,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",67,"$99,856.45 "
240,apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.974941,-38.440117",70,"$102,976.97 "
241,apartment,|Brasil|Bahia|Salvador|Trobogy|,Northeast,"-12.931565,-38.40873",67,"$102,976.97 "
242,apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.002883,-38.486099",156,"$321,412.96 "
243,apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.941992,-38.403465",54,"$93,615.42 "
244,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.950598,-38.40873",195,"$390,064.28 "
245,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.950598,-38.40873",142,"$262,123.19 "
246,apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,112,"$212,194.96 "
